1,Network,200,"6/1/2023",1
2,Memory,150,"6/1/2023",1
3,Hardware,80,"6/1/2023",1
4,Network,80,"6/2/2023",1
5,Memory,50,"6/2/2023",1
6,Hardware,180,"6/2/2023",1
7,Network,200,"6/5/2023",2
8,Memory,150,"6/5/2023",2
9,Hardware,80,"6/5/2023",2
10,Network,200,"6/7/2023",2
11,Memory,150,"6/7/2023",2
12,Hardware,80,"6/7/2023",2
13,Network,200,"6/9/2023",2
14,Memory,150,"6/9/2023",2
15,Hardware,80,"6/9/2023",2
16,Network,200,"6/12/2023",3
17,Memory,150,"6/12/2023",3
18,Hardware,80,"6/12/2023",3
19,Network,200,"6/14/2023",3
20,Memory,150,"6/14/2023",3
21,Hardware,80,"6/14/2023",3
22,Network,200,"6/16/2023",3
23,Memory,150,"6/16/2023",3
24,Hardware,80,"6/16/2023",3
25,Network,200,"6/19/2023",4
26,Memory,150,"6/19/2023",4
27,Hardware,80,"6/19/2023",4
28,Network,200,"6/21/2023",4
29,Memory,150,"6/21/2023",4
30,Hardware,80,"6/21/2023",4
31,Network,200,"6/23/2023",4
32,Memory,150,"6/23/2023",4
33,Hardware,80,"6/23/2023",4
34,Network,200,"6/26/2023",5
35,Memory,150,"6/26/2023",5
36,Hardware,80,"6/26/2023",5
37,Network,200,"6/28/2023",5
38,Memory,150,"6/28/2023",5
39,Hardware,80,"6/28/2023",5
40,Network,200,"6/30/2023",5
41,Memory,150,"6/30/2023",5
42,Hardware,80,"6/30/2023",5
